,listing_Location,Listing_Name,Features,Price,Rating_Review
13,Entire condo in Lahaina,Escape to Paradise at The Paki Maui,4 guests · 1 bedroom · 2 beds · 1 bath,$304 CAD per night,4.78 (125 reviews)
14,Entire rental unit in Honolulu,Luana Waikiki Hotel - Ocean View & Modern style,4 guests · Studio · 2 beds · 1 bath,",&nbsp;",4.87 (247 reviews)
15,Entire condo in Princeville,Newly Renovated Northshore Condo,5 guests · 2 bedrooms · 3 beds · 1.5 baths,$469 CAD per night,4.92 (172 reviews)
16,Entire condo in Princeville,OCEAN FRONT 2b/2ba Amazing Views! Princeville pool,4 guests · 2 bedrooms · 2 beds · 2 baths,$638 CAD per night,4.95 (204 reviews)
17,Entire condo in Kapaa,"BIG Ocean View, pool,Full Kitchen, King, WiFi, 203",4 guests · 2 bedrooms · 2 beds · 1 bath,$493 CAD per night,4.87 (149 reviews)
18,Entire condo in Kahuku,RusticLuxe — Fully Custom Boss Cabin at Turtle Bay,4 guests · 1 bedroom · 2 beds · 2 baths,",&nbsp;",4.91 (271 reviews)
19,Entire condo in Honolulu,1/2 block to Beach OCEANVIEW in all rooms 1carport,6 guests · 2 bedrooms · 3 beds · 2 baths,$842 CAD per night,4.74 (171 reviews)
20,Entire home in Captain Cook,Sweeping Views from a Striking Home with Balconies,4 guests · 2 bedrooms · 2 beds · 1.5 baths,$931 CAD per night,4.98 (209 reviews)
21,Entire townhouse in Laie,Sea Cliff House 2 - Oceanfront Home - 30-day stays,10 guests · 3 bedrooms · 7 beds · 2 baths,"$1,203 CAD per night",4.87 (190 reviews)
22,Entire guesthouse in Kihei,"180' ocean views, heated pool at a villa by Wailea",4 guests · 2 bedrooms · 3 beds · 1 bath,"$1,109 CAD per night",4.97 (310 reviews)
23,Entire condo in Kahuku,RusticLuxe — Fully Custom Boss Cabin at Turtle Bay,4 guests · 1 bedroom · 2 beds · 2 baths,",&nbsp;",4.91 (271 reviews)
24,Entire condo in Honolulu,1/2 block to Beach OCEANVIEW in all rooms 1carport,6 guests · 2 bedrooms · 3 beds · 2 baths,$842 CAD per night,4.74 (171 reviews)
25,Entire condo in Princeville,Newly Renovated Northshore Condo,5 guests · 2 bedrooms · 3 beds · 1.5 baths,$469 CAD per night,4.92 (172 reviews)
26,Entire condo in Kihei,"Ocean View, All New Renovation!",6 guests · 2 bedrooms · 3 beds · 2 baths,$550 CAD per night,4.87 (147 reviews)
27,Entire condo in Kauai,Hidden Gem within Hanalei Bay 1 BR Condo,4 guests · 1 bedroom · 2 beds · 2 baths,",&nbsp;",4.67 (286 reviews)
28,Entire condo in Kihei,Renovated 2 Bed/2 Bath Ocean Views from Lanai,6 guests · 2 bedrooms · 3 beds · 2 baths,$441 CAD per night,4.71 (173 reviews)
29,Entire condo in Kihei,Kihei Oceanfront Beautiful 2 Bedroom Condo,5 guests · 2 bedrooms · 2 beds · 1.5 baths,$481 CAD per night,4.66 (304 reviews)
30,Entire condo in Lahaina,Newly Remodled Condo! Has it ALL!,6 guests · 2 bedrooms · 4 beds · 1 bath,$597 CAD per night,4.78 (94 reviews)
31,Entire home in Kailua-Kona,"Spacious 4 BR, Ocean View w/Lanai, Sleeps 10",10 guests · 4 bedrooms · 7 beds · 2 baths,"$1,053 CAD per night",4.91 (97 reviews)
32,Entire home in Lahaina,Renovated  Lahaina Plantation Home 3 BR/3 Baths,10 guests · 3 bedrooms · 3 beds · 3 baths,",&nbsp;",5.0 (69 reviews)
33,Entire condo in Wailuku,Relax into Island Life at a Bamboo-Dotted Oceanfront Oasis,6 guests · 2 bedrooms · 2 beds · 2 baths,$502 CAD per night,4.79 (169 reviews)
34,Entire rental unit in Honolulu,Last minute DEAL by Waikiki beach (All legal),8 guests · 2 bedrooms · 5 beds · 2 baths,"$704 CAD per night, originally $762",4.72 (107 reviews)
35,Entire home in Pāhoa,Open Loft Triangle Home. Ocean . Stars . Explore,6 guests · 1 bedroom · 7 beds · 2 baths,",&nbsp;",4.75 (259 reviews)
36,Entire condo in Wailuku,Spacious Luxury Oceanfront - Fully Remodeled - Ocean Views,8 guests · 3 bedrooms · 5 beds · 2 baths,",&nbsp;",4.94 (143 reviews)
37,Entire rental unit in Kahuku,Hale Honu- Paradise at Turtle Bay,6 guests · 2 bedrooms · 3 beds · 2 baths,$645 CAD per night,4.63 (366 reviews)
38,Entire condo in Lahaina,Maui at it's best. Family ready.,6 guests · 2 bedrooms · 2 beds · 2 baths,$616 CAD per night,4.88 (188 reviews)
39,Tiny homes in Volcano,"Tiki Tiny House at Volcano, Hawaii",6 guests · 2 bedrooms · 3 beds · 1 bath,$322 CAD per night,4.84 (212 reviews)
40,Entire condo in Lahaina,Maui at it's best. Family ready.,6 guests · 2 bedrooms · 2 beds · 2 baths,$616 CAD per night,4.88 (188 reviews)
41,Entire condo in Wailuku,Luxury Oceanfront ★ Designer Condo with Huge Views,6 guests · 2 bedrooms · 5 beds · 2 baths,"$1,068 CAD per night",4.96 (213 reviews)
42,Entire home in Kailua-Kona,Watch Rain Fall Inside Your Home Into The Indoor Water Feature. Amazing Entry Across An Indoor Pond. Expansive Unfettered Ocean Views,8 guests · 4 bedrooms · 5 beds · 3.5 baths,"$3,299 CAD per night",4.73 (88 reviews)
43,Entire condo in Kihei,Beautiful 2BR Condo with view at Maui Vista Resort,4 guests · 2 bedrooms · 2 beds · 2 baths,",&nbsp;",4.88 (219 reviews)
44,Entire rental unit in Kihei,Spacious condo close to beach,4 guests · 1 bedroom · 2 beds · 1 bath,$334 CAD per night,4.82 (296 reviews)
45,Entire rental unit in Kailua-Kona,"☀ Modern, Tropical and Oceanside + AC & Free Pk ☀",4 guests · 1 bedroom · 2 beds · 1 bath,",&nbsp;",4.85 (361 reviews)
46,Entire condo in Kahuku,RusticLuxe — Fully Custom Boss Cabin at Turtle Bay,4 guests · 1 bedroom · 2 beds · 2 baths,",&nbsp;",4.91 (271 reviews)
47,Entire home in Pāhoa,Open Loft Triangle Home. Ocean . Stars . Explore,6 guests · 1 bedroom · 7 beds · 2 baths,",&nbsp;",4.75 (259 reviews)
48,Entire home in Kihei,8-403 Kamaole Sands**Newly Remodeled** Steps to Kamaole 3 Beach!,8 guests · 2 bedrooms · 4 beds · 2 baths,",&nbsp;",4.78 (116 reviews)
49,Entire townhouse in Princeville,Bungalow Indigo w/Beachgear,5 guests · 2 bedrooms · 2 beds · 2 baths,$661 CAD per night,4.94 (96 reviews)
50,Entire condo in Wailea-Makena,Beautiful & Spacious Wailea Condo!! Walk to beach,6 guests · 2 bedrooms · 2 beds · 2 baths,$725 CAD per night,4.90 (191 reviews)
51,Entire guest suite in Kailua-Kona,Kona dream vacation /POOL/AC/Great location,4 guests · Studio · 2 beds · 1 bath,$261 CAD per night,4.91 (222 reviews)
52,Entire rental unit in Kihei,Great 1 Bdrm Across fr Beach OceanView!,4 guests · 1 bedroom · 2 beds · 1 bath,$365 CAD per night,4.87 (334 reviews)
53,Entire home in Princeville,"AC, Hot Tub & Plunge Pool! Steps to Queen's Bath!",16 guests · 4 bedrooms · 9 beds · 2.5 baths,"$959 CAD per night, originally $1,211",4.75 (97 reviews)
54,Entire rental unit in Kihei,"Great value, nice Kihei condo",4 guests · 1 bedroom · 2 beds · 1 bath,$334 CAD per night,4.79 (248 reviews)
55,Entire home in Honolulu,"STYLISH VILLA ! GREAT LOCATION ,CLEAN AND PRIVATE",16 guests · 5 bedrooms · 8 beds · 3 baths,"$1,426 CAD per night",4.75 (45 reviews)
56,Entire condo in Kihei,Fun in the sun and beach at cozy Kihei get away!,4 guests · 2 bedrooms · 2 beds · 2 baths,$499 CAD per night,4.89 (240 reviews)
57,Entire townhouse in Princeville,Natural Hawaiian Light and Tropical Breezes Fill Hale Indigo,5 guests · 2 bedrooms · 2 beds · 2 baths,$702 CAD per night,4.90 (84 reviews)
58,Entire home in Wailuku,Charming Direct Oceanfront North Shore Beach House,8 guests · 4 bedrooms · 6 beds · 3 baths,"$1,803 CAD per night",4.62 (149 reviews)
59,Entire townhouse in Lahaina,Say Aloha to a Luxurious Family Getaway,6 guests · 2 bedrooms · 2 beds · 2 baths,"$1,078 CAD per night",4.88 (89 reviews)
60,Entire cottage in Captain Cook,Honaunau Ocean View! Families Here!,6 guests · 3 bedrooms · 4 beds · 2 baths,"$286 CAD per night, originally $312",4.84 (60 reviews)
61,Entire home in Kaneohe,Step Into Serenity,4 guests · 2 bedrooms · 3 beds · 1 bath,$526 CAD per night,4.89 (46 reviews)
62,Entire home in Honokaa,"Waiulililani at Waipio Valley, TA # 124-836-6592-01",6 guests · 3 bedrooms · 3 beds · 3 baths,"$439 CAD per night, originally $502",4.83 (92 reviews)
63,Entire condo in Kailua-Kona,Townhouse steps away from ocean and pool,6 guests · 2 bedrooms · 3 beds · 2 baths,$413 CAD per night,4.95 (22 reviews)
64,Entire home in Papaikou,"New! - Oceanfront Paradise in Hilo w AC, Pool and Hot Tub. Remote Work!",4 guests · 2 bedrooms · 2 beds · 2 baths,$577 CAD per night,5.0 (3 reviews)
65,Entire condo in Waikoloa Village,Waikoloa Resort Villa with Private Ocean Club,4 guests · 2 bedrooms · 3 beds · 2 baths,$769 CAD per night,5.0 (18 reviews)
66,Entire condo in Koloa,Spacious Poipu Condo Sleeps 8,8 guests · 2 bedrooms · 4 beds · 2 baths,$441 CAD per night,4.80 (81 reviews)
67,Entire home in Keaau,3 bedroom house in Keaau near the volcano,8 guests · 3 bedrooms · 3 beds · 2 baths,$283 CAD per night,4.90 (39 reviews)
68,Entire condo in Waimea,"Mauna Lani Golf Villa! Club Access, AC, Pool, Spa!",4 guests · 2 bedrooms · 3 beds · 2 baths,$755 CAD per night,4.95 (39 reviews)
69,Entire home in Naalehu,"Pool, Hot Tub, Japenese Pagoda & Gardens, Ocean Views",6 guests · 3 bedrooms · 3 beds · 2 baths,$405 CAD per night,4.84 (31 reviews)
70,Entire condo in Kailua-Kona,"Spacious 2/2, doorstep to beaches and restaurants.",6 guests · 2 bedrooms · 4 beds · 2 baths,"$389 CAD per night, originally $426",5.0 (10 reviews)
71,Entire townhouse in Waimea,❤️PiH❤️ISLANDS DELIGHT★Dual Master★Newly Renovated,5 guests · 2 bedrooms · 3 beds · 2.5 baths,$631 CAD per night,5.0 (19 reviews)
72,Entire home in Kailua-Kona,The Mana Ohana - Ocean & Mtn. Views - sleeps 6-8,7 guests · 2 bedrooms · 4 beds · 2 baths,"$318 CAD per night, originally $347",empty
73,Entire guest suite in Honolulu,Breezy 2BD ★PRIME LOCATION★ | Bright | Spotless,7 guests · 2 bedrooms · 4 beds · 1 bath,$382 CAD per night,4.84 (31 reviews)
74,Entire condo in Kihei,Island Surf 311  Oceanview!! Steps from the Ocean. Air Purifier! Sanitized Cleaning! Watch the morning Surfers!,6 guests · 2 bedrooms · 3 beds · 2 baths,$526 CAD per night,4.76 (37 reviews)
75,Entire guesthouse in Kailua-Kona,Lani Wai Ka Napo'o,6 guests · 2 bedrooms · 3 beds · 2 baths,$438 CAD per night,4.84 (73 reviews)
76,Entire home in Kailua-Kona,Kona Views,4 guests · 2 bedrooms · 3 beds · 2 baths,$352 CAD per night,4.89 (56 reviews)
77,Entire condo in Kailua-Kona,Lovely 2 bedroom condo with ocean view,6 guests · 2 bedrooms · 4 beds · 2 baths,$459 CAD per night,4.80 (5 reviews)
78,Entire condo in Kailua-Kona,Beautiful Oceanfront Two Bedroom Condo w/AC! #203,5 guests · 2 bedrooms · 3 beds · 2 baths,$592 CAD per night,4.97 (32 reviews)
79,Entire condo in Honolulu,Banyan 14th FL Sleeps SIX Guests w/ 1 Free Parking,6 guests · 1 bedroom · 3 beds · 1 bath,",&nbsp;",4.22 (85 reviews)
80,Entire rental unit in Kihei,Best condo in Kihei - great value!,4 guests · 1 bedroom · 2 beds · 1 bath,$334 CAD per night,4.73 (283 reviews)
81,Entire rental unit in Honolulu,Waikiki Penthouse Panorama Ocean/Moutain Views,8 guests · 2 bedrooms · 6 beds · 2 baths,$948 CAD per night,4.62 (154 reviews)
82,Entire rental unit in Paia,Maui Tropical House,4 guests · 1 bedroom · 2 beds · 1 bath,",&nbsp;",4.73 (284 reviews)
83,Entire condo in Kihei,SUGAR BEACH RETREAT: Ocean View: Steps to Beach,4 guests · 1 bedroom · 2 beds · 1 bath,$604 CAD per night,4.92 (184 reviews)
84,Entire home in Laie,Oceanfront Family Beach Retreat - Gated & Private,16 guests · 4 bedrooms · 11 beds · 4 baths,"$2,136 CAD per night",4.79 (51 reviews)
85,Entire condo in Princeville,"Airy Apt w/AC: Walk to Beach, 10 mins to Surf/Hike",4 guests · Studio · 2 beds · 1 bath,",&nbsp;",4.84 (129 reviews)
86,Entire rental unit in Paia,Hawaii Tropical Accommodations.,4 guests · 1 bedroom · 2 beds · 1 bath,",&nbsp;",4.68 (194 reviews)
87,Entire home in Hilo,Hilo Hale Kai at Honolii Oceanfront,4 guests · 1 bedroom · 2 beds · 1 bath,$509 CAD per night,4.80 (321 reviews)
88,Entire rental unit in Kahuku,Hale O Hoa- Paradise at Turtle Bay,4 guests · 1 bedroom · 1 bed · 1 bath,$535 CAD per night,4.80 (235 reviews)
89,Entire condo in Lahaina,Perfect Landing for You on Maui! T-046-692-0448-03,4 guests · 1 bedroom · 2 beds · 1 bath,"$465 CAD per night, originally $498",4.82 (233 reviews)
90,Entire home in Volcano,House of Bonsai Vacation Rental,4 guests · 1 bedroom · 2 beds · 1 bath,"$299 CAD per night, originally $327",4.97 (428 reviews)
91,Entire condo in Wailuku,Newly Remodeled Spectacular Oceanfront Condo!,4 guests · 1 bedroom · 2 beds · 1 bath,",&nbsp;",4.88 (227 reviews)
92,Entire guest suite in Naalehu,☀ Private Garden w/ Ocean Views → Green Sands ☀,4 guests · 1 bedroom · 1 bed · 1 bath,$373 CAD per night,4.91 (375 reviews)
93,Entire rental unit in Kihei,Kamaole Beach Royale Entire 1 bedroom Aloha Apt,4 guests · 1 bedroom · 1 bed · 1 bath,"$370 CAD per night, originally $399",4.80 (237 reviews)
94,Entire condo in Kihei,Paradise Awaits You! TRACY’S TROPICAL TREASURES #4,4 guests · Studio · 2 beds · 1 bath,$561 CAD per night,4.96 (215 reviews)
95,Entire condo in Kihei,Ocean View Superior Deluxe -  #200,5 guests · 1 bedroom · 2 beds · 1 bath,$713 CAD per night,4.79 (267 reviews)
96,Entire condo in Kihei,#1 IN KIHEI FOR 2021!TRACY'S TROPICAL TREASURES #3,4 guests · Studio · 2 beds · 1 bath,$513 CAD per night,4.95 (202 reviews)
97,Entire condo in Kihei,SUITE DREAMS MAUI,4 guests · Studio · 2 beds · 1 bath,$531 CAD per night,4.88 (282 reviews)
98,Entire condo in Kihei,Romantic Bliss Maui,4 guests · Studio · 2 beds · 1 bath,$507 CAD per night,4.73 (389 reviews)
99,Entire rental unit in Waimea,Hale Malino at The Palm Villas at Mauna Lani,4 guests · 2 bedrooms · 3 beds · 2 baths,$532 CAD per night,5.0 (24 reviews)
100,Entire home in Pāhoa,"Tropical Big Island Getaway, Pahoa Hawaii, Hilo",4 guests · 2 bedrooms · 2 beds · 2 baths,$174 CAD per night,4.84 (46 reviews)
101,Entire home in Waimea,OCEANFRONT 118 Puako - Hale Aloha,5 guests · 2 bedrooms · 2 beds · 1.5 baths,$960 CAD per night,5.0 (13 reviews)
102,Entire guest suite in Pāhoa,Adorable 2 bedroom- 3 blocks from ocean,8 guests · 2 bedrooms · 5 beds · 1 bath,"$153 CAD per night, originally $167",empty
103,Entire condo in Waiʻanae,Gardens and Rainbows!,6 guests · 2 bedrooms · 2 beds · 1 bath,"$151 CAD per night, originally $180",4.70 (64 reviews)
104,Entire condo in Kailua-Kona,Kona Paradise with Wide Ocean View @Royal Kahili,6 guests · 2 bedrooms · 4 beds · 2 baths,",&nbsp;",4.88 (103 reviews)
105,Entire home in Kailua-Kona,Dragon Makai Hale,4 guests · 2 bedrooms · 2 beds · 3 baths,$367 CAD per night,4.99 (69 reviews)
106,Entire townhouse in Kamuela,Affordable Luxury @ Magical Mauna Lani!,6 guests · 2 bedrooms · 3 beds · 2 baths,$526 CAD per night,4.94 (121 reviews)
107,Entire villa in Pāhoa,Lava Flow House Pool Ocean View Kehena Beach w A/C,9 guests · 2 bedrooms · 4 beds · 2 baths,"$1,254 CAD per night, originally $1,355",5.0 (33 reviews)
108,Entire home in Kailua-Kona,Kona Beach House,6 guests · 2 bedrooms · 3 beds · 2 baths,$520 CAD per night,4.78 (116 reviews)
109,Entire condo in Kailua Kona,Kona Pacific B409,6 guests · 2 bedrooms · 4 beds · 3 baths,$519 CAD per night,4.80 (15 reviews)
110,Entire condo in Kailua-Kona,Oceanview on Golf Course 3 Pools Air,6 guests · 3 bedrooms · 5 beds · 3 baths,$429 CAD per night,4.86 (14 reviews)
111,Entire condo in Honolulu,THE MAUKA SUITE @ THE WAIKIKI BANYAN,4 guests · 1 bedroom · 3 beds · 1 bath,$448 CAD per night,4.75 (29 reviews)
112,Entire condo in Waikoloa Village,Large 2/2 penthouse with views in Waikoloa,6 guests · 2 bedrooms · 2 beds · 2 baths,$580 CAD per night,4.93 (14 reviews)
113,Entire bungalow in Captain Cook,"Miloli'i Beach Bungalow, LLC",6 guests · 2 bedrooms · 2 beds · 1.5 baths,$200 CAD per night,4.88 (33 reviews)
114,Entire home in Haleiwa,Sunset Villa,6 guests · 3 bedrooms · 4 beds · 2 baths,",&nbsp;",4.98 (40 reviews)
115,Entire condo in Waikoloa Village,Beautifully Remodeled 2 BR 2 BA & Stunning Views,4 guests · 2 bedrooms · 2 beds · 2 baths,$304 CAD per night,5.0 (20 reviews)
116,Entire home in Honolulu,NEW▶Mountain RV-NO.7▶Open Free parking!,6 guests · 1 bedroom · 2 beds · 1 bath,",&nbsp;",4.91 (23 reviews)
117,Entire condo in Waikoloa Beach Resort,"Lush Tropical Oasis at Waikoloa Shores, Big Island",4 guests · 2 bedrooms · 3 beds · 2 baths,$456 CAD per night,4.94 (18 reviews)
118,Entire cottage in Captain Cook,Honaunau Ocean View! Families Here!,6 guests · 3 bedrooms · 4 beds · 2 baths,"$286 CAD per night, originally $312",4.84 (60 reviews)
119,Entire cottage in Molokai,"Oceanfront/View 2BR Cottage, WiFi, Sunsets, Pool",4 guests · 2 bedrooms · 2 beds · 2 baths,$413 CAD per night,5.0 (17 reviews)
120,Entire townhouse in Maunaloa,"Best Oceanfront Location on West Molokai, not Maui",4 guests · 2 bedrooms · 2 beds · 1 bath,$390 CAD per night,4.91 (22 reviews)
121,Entire townhouse in Waimea,❤️PiH❤️ Island Song Villa ★ Renovated ★ Bikes ★,6 guests · 2 bedrooms · 4 beds · 2.5 baths,$623 CAD per night,4.88 (24 reviews)
122,Entire condo in Kailua,Beach Front Family Condo at famous Lymans Cove,6 guests · 2 bedrooms · 4 beds · 2 baths,$378 CAD per night,4.53 (80 reviews)
123,Entire villa in Kapolei,Ko'Olina Resort-Private Vacation Villa,7 guests · 2 bedrooms · 3 beds · 2.5 baths,$746 CAD per night,4.93 (29 reviews)
124,Entire home in Kailua-Kona,Halia Hale,6 guests · 3 bedrooms · 3 beds · 2 baths,$749 CAD per night,4.96 (104 reviews)
125,Entire condo in Waikoloa Village,Waikoloa Resort Villa with Private Ocean Club,4 guests · 2 bedrooms · 3 beds · 2 baths,$769 CAD per night,5.0 (18 reviews)
126,Entire rental unit in Honolulu,One block to Waikiki Beach,6 guests · 1 bedroom · 2 beds · 1 bath,$306 CAD per night,4.29 (30 reviews)
127,Entire condo in Kailua-Kona,Na Hale O Keauhou H5 is a spacious 2-bedroom & 2-1/2 bath townhome,5 guests · 2 bedrooms · 4 beds · 2 baths,$471 CAD per night,4.89 (9 reviews)
128,Entire home in Waimea,New Centrally Located Waimea Home on Big Island,5 guests · 2 bedrooms · 3 beds · 1 bath,",&nbsp;",4.99 (67 reviews)
129,Private room in Keaau,Upstairs bachelor Suite ( W-Ocean View),6 guests · 1 bedroom · 3 beds · 1 private bath,",&nbsp;",4.84 (182 reviews)
130,Entire rental unit in Honolulu,Waikiki Banyan Tree *Oceanview * FREE Parking! King Bed,4 guests · 1 bedroom · 2 beds · 1 bath,",&nbsp;",4.93 (27 reviews)
131,Entire home in Hilo,Aloha Falls Sanctuary. Peaceful Waterfall Paradise,6 guests · 2 bedrooms · 2 beds · 2 baths,$602 CAD per night,4.90 (85 reviews)
132,Entire condo in Kahuku,NEWLY RENOVATED (2021) Turtle Bay Haven!,6 guests · 1 bedroom · 4 beds · 2 baths,",&nbsp;",4.87 (54 reviews)
133,Entire condo in Koloa,Spacious Poipu Condo Sleeps 8,8 guests · 2 bedrooms · 4 beds · 2 baths,$441 CAD per night,4.80 (81 reviews)
134,Entire guesthouse in Kailua-Kona,Lani Wai Ka Napo'o,6 guests · 2 bedrooms · 3 beds · 2 baths,$438 CAD per night,4.84 (73 reviews)
135,Entire home in Volcano,A/C All Rms/WorkStation&Dishwasher AlohaHaleNohea2,6 guests · 3 bedrooms · 3 beds · 2 baths,$429 CAD per night,4.97 (172 reviews)
136,Entire home in Naalehu,"Pool, Hot Tub, Japenese Pagoda & Gardens, Ocean Views",6 guests · 3 bedrooms · 3 beds · 2 baths,$405 CAD per night,4.84 (31 reviews)
137,Entire home in Hilo,NEW with AC ☆Somewhere Over Rainbow Loft ♥ Hilo,6 guests · 2 bedrooms · 3 beds · 1.5 baths,$298 CAD per night,4.93 (75 reviews)
138,Entire condo in Kailua Kona,"Kona Isle C28. Corner Unit, 2nd Floor, Ocean Views, & Air Conditioning!",4 guests · 1 bedroom · 2 beds · 1 bath,$336 CAD per night,4.80 (5 reviews)
139,Entire condo in Kailua-Kona,Kona Makai 3-305,6 guests · 2 bedrooms · 4 beds · 1 bath,$329 CAD per night,4.68 (19 reviews)
140,Entire guesthouse in Haiku-Pauwela,Maile Bungalow- County Licensed,4 guests · 2 bedrooms · 3 beds · 1 bath,$466 CAD per night,4.92 (115 reviews)
141,Entire condo in Waikoloa Village,"Kolea 8A at Waikoloa Beach, Hawaii",6 guests · 3 bedrooms · 4 beds · 3 baths,"$1,224 CAD per night",5.0 (20 reviews)
142,Entire condo in Kihei,"STEPS FROM THE BEACH! 2-Bedroom, Brand-New Remodel",6 guests · 2 bedrooms · 3 beds · 2 baths,"$572 CAD per night, originally $626",5.0 (17 reviews)
143,Farm stay in Pāhoa,Farmhouse at Hawaiian Retreat,6 guests · 1 bedroom · 3 beds · 1 bath,"$108 CAD per night, originally $115",4.63 (109 reviews)
144,Entire condo in Kahuku,NEWLY RENOVATED (2021) Turtle Bay Haven!,6 guests · 1 bedroom · 4 beds · 2 baths,",&nbsp;",4.87 (54 reviews)
145,Entire home in Hawi,Custom Home on 10 acres with sweeping ocean views,8 guests · 3 bedrooms · 4 beds · 3 baths,$645 CAD per night,4.96 (55 reviews)
146,Entire condo in Kailua-Kona,Beautiful Top Floor Oceanfront Condo with AC! #415,4 guests · 2 bedrooms · 3 beds · 2 baths,$584 CAD per night,5.0 (21 reviews)
147,Entire condo in Kihei,OCEAN VIEW 2 BR 2 BATH PENTHOUSE KAM 2/3 BEACH,4 guests · 2 bedrooms · 2 beds · 2 baths,$635 CAD per night,4.60 (5 reviews)
148,Entire condo in Kihei,Spectacular water front view-2 bedroom/2 bath,6 guests · 2 bedrooms · 3 beds · 2 baths,",&nbsp;",4.94 (17 reviews)
149,Entire home in Kailua-Kona,Oceanview Old Hawaiian Ranch House,6 guests · 3 bedrooms · 4 beds · 2.5 baths,$733 CAD per night,5.0 (37 reviews)
150,Entire condo in Waikoloa Beach Resort,"Lush Tropical Oasis at Waikoloa Shores, Big Island",4 guests · 2 bedrooms · 3 beds · 2 baths,$456 CAD per night,4.94 (18 reviews)
151,Entire home in Pāhoa,Kalapana Beach Haven,9 guests · 3 bedrooms · 5 beds · 4 baths,"$962 CAD per night, originally $1,034",5.0 (65 reviews)
152,Entire condo in Kailua-Kona,Beach Villas (Ocean View) Sleeps 5,5 guests · 2 bedrooms · 4 beds · 2 baths,$396 CAD per night,4.81 (37 reviews)
153,Entire rental unit in Princeville,Adventures in Paradise!,5 guests · 2 bedrooms · 5 beds · 2 baths,$442 CAD per night,4.80 (47 reviews)
154,Entire home in Pāhoa,Hale Melemele,7 guests · 2 bedrooms · 4 beds · 2 baths,"$226 CAD per night, originally $253",4.69 (183 reviews)
155,Entire condo in Kihei,Toast the Sunset in a Dreamy Island Penthouse Loft,6 guests · 2 bedrooms · 4 beds · 2 baths,",&nbsp;",5.0 (111 reviews)
156,Entire condo in Kihei,Beautifully UPGRADED Ocean View Condo Walk 2 Beach,6 guests · 2 bedrooms · 3 beds · 2 baths,$592 CAD per night,5.0 (40 reviews)
157,Entire condo in Kihei,"NEWLY REMODELED!! 2 bedroom 2 bath condo, Maui, HI",6 guests · 2 bedrooms · 3 beds · 2 baths,$361 CAD per night,4.85 (79 reviews)
158,Entire home in Ewa Beach,Ewa Sands,6 guests · 2 bedrooms · 3 beds · 1 bath,$500 CAD per night,4.74 (104 reviews)
159,Entire rental unit in Honolulu,"City lights Waikiki ($7,500 monthly)",6 guests · 2 bedrooms · 4 beds · 2 baths,$649 CAD per night,4.76 (87 reviews)
160,Entire cottage in Maui County,Ocean View Cottage. Island Retreat.,5 guests · 2 bedrooms · 3 beds · 1 bath,$502 CAD per night,4.93 (29 reviews)
161,Entire condo in Kailua-Kona,Kona Makai 3-305,6 guests · 2 bedrooms · 4 beds · 1 bath,$329 CAD per night,4.68 (19 reviews)
