,Type_of_Accomordation,Location_of_Accomodation,Info_Of_Accomordation,No_of_guest,Rooms,Beds,Bath,Ratings,Review,Total/Night
76,Entire home ,KailuaKona,Kona Views,4 guests , 2 bedrooms , 3 beds , 2 baths,4.89 ,56 reviews ,$352 CAD per night
77,Entire condo ,KailuaKona,Lovely 2 bedroom condo with ocean view,6 guests , 2 bedrooms , 4 beds , 2 baths,4.80 ,5 reviews ,$459 CAD per night
78,Entire condo ,KailuaKona,Beautiful Oceanfront Two Bedroom Condo w/AC! #203,5 guests , 2 bedrooms , 3 beds , 2 baths,4.97 ,32 reviews ,$592 CAD per night
80,Entire rental unit ,Kihei,Best condo in Kihei - great value!,4 guests , 1 bedroom , 2 beds , 1 bath,4.73 ,283 reviews ,$334 CAD per night
81,Entire rental unit ,Honolulu,Waikiki Penthouse Panorama Ocean/Moutain Views,8 guests , 2 bedrooms , 6 beds , 2 baths,4.62 ,154 reviews ,$948 CAD per night
84,Entire home ,Laie,Oceanfront Family Beach Retreat - Gated & Private,16 guests , 4 bedrooms , 11 beds , 4 baths,4.79 ,51 reviews ,$2
88,Entire rental unit ,Kahuku,Hale O Hoa- Paradise at Turtle Bay,4 guests , 1 bedroom , 1 bed , 1 bath,4.80 ,235 reviews ,$535 CAD per night
89,Entire condo ,Laha,Perfect Landing for You on Maui! T-046-692-0448-03,4 guests , 1 bedroom , 2 beds , 1 bath,4.82 ,233 reviews ,$465 CAD per night
90,Entire home ,Volcano,House of Bonsai Vacation Rental,4 guests , 1 bedroom , 2 beds , 1 bath,4.97 ,428 reviews ,$299 CAD per night
92,Entire guest suite ,Naalehu,☀ Private Garden w/ Ocean Views → Green Sands ☀,4 guests , 1 bedroom , 1 bed , 1 bath,4.91 ,375 reviews ,$373 CAD per night
99,Entire rental unit ,Waimea,Hale Malino at The Palm Villas at Mauna Lani,4 guests , 2 bedrooms , 3 beds , 2 baths,5.0 ,24 reviews ,$532 CAD per night
105,Entire home ,KailuaKona,Dragon Makai Hale,4 guests , 2 bedrooms , 2 beds , 3 baths,4.99 ,69 reviews ,$367 CAD per night
106,Entire townhouse ,Kamuela,Affordable Luxury @ Magical Mauna Lani!,6 guests , 2 bedrooms , 3 beds , 2 baths,4.94 ,121 reviews ,$526 CAD per night
110,Entire condo ,KailuaKona,Oceanview on Golf Course 3 Pools Air,6 guests , 3 bedrooms , 5 beds , 3 baths,4.86 ,14 reviews ,$429 CAD per night
111,Entire condo ,Honolulu,THE MAUKA SUITE @ THE WAIKIKI BANYAN,4 guests , 1 bedroom , 3 beds , 1 bath,4.75 ,29 reviews ,$448 CAD per night
117,Entire condo ,WaikoloaBeachResort,"Lush Tropical Oasis at Waikoloa Shores, Big Island",4 guests , 2 bedrooms , 3 beds , 2 baths,4.94 ,18 reviews ,$456 CAD per night
118,Entire cottage ,Capta,Honaunau Ocean View! Families Here!,6 guests , 3 bedrooms , 4 beds , 2 baths,4.84 ,60 reviews ,$286 CAD per night
121,Entire townhouse ,Waimea,❤️PiH❤️ Island Song Villa ★ Renovated ★ Bikes ★,6 guests , 2 bedrooms , 4 beds , 2.5 baths,4.88 ,24 reviews ,$623 CAD per night
122,Entire condo ,Kailua,Beach Front Family Condo at famous Lymans Cove,6 guests , 2 bedrooms , 4 beds , 2 baths,4.53 ,80 reviews ,$378 CAD per night
123,Entire villa ,Kapolei,Ko'Olina Resort-Private Vacation Villa,7 guests , 2 bedrooms , 3 beds , 2.5 baths,4.93 ,29 reviews ,$746 CAD per night
124,Entire home ,KailuaKona,Halia Hale,6 guests , 3 bedrooms , 3 beds , 2 baths,4.96 ,104 reviews ,$749 CAD per night
125,Entire condo ,WaikoloaVillage,Waikoloa Resort Villa with Private Ocean Club,4 guests , 2 bedrooms , 3 beds , 2 baths,5.0 ,18 reviews ,$769 CAD per night
134,Entire guesthouse ,KailuaKona,Lani Wai Ka Napo'o,6 guests , 2 bedrooms , 3 beds , 2 baths,4.84 ,73 reviews ,$438 CAD per night
135,Entire home ,Volcano,A/C All Rms/WorkStation&Dishwasher AlohaHaleNohea2,6 guests , 3 bedrooms , 3 beds , 2 baths,4.97 ,172 reviews ,$429 CAD per night
137,Entire home ,Hilo,NEW with AC ☆Somewhere Over Rainbow Loft ♥ Hilo,6 guests , 2 bedrooms , 3 beds , 1.5 baths,4.93 ,75 reviews ,$298 CAD per night
138,Entire condo ,KailuaKona,"Kona Isle C28. Corner Unit, 2nd Floor, Ocean Views, & Air Conditioning!",4 guests , 1 bedroom , 2 beds , 1 bath,4.80 ,5 reviews ,$336 CAD per night
139,Entire condo ,KailuaKona,Kona Makai 3-305,6 guests , 2 bedrooms , 4 beds , 1 bath,4.68 ,19 reviews ,$329 CAD per night
140,Entire guesthouse ,HaikuPauwela,Maile Bungalow- County Licensed,4 guests , 2 bedrooms , 3 beds , 1 bath,4.92 ,115 reviews ,$466 CAD per night
142,Entire condo ,Kihei,"STEPS FROM THE BEACH! 2-Bedroom, Brand-New Remodel",6 guests , 2 bedrooms , 3 beds , 2 baths,5.0 ,17 reviews ,$572 CAD per night
145,Entire home ,Hawi,Custom Home on 10 acres with sweeping ocean views,8 guests , 3 bedrooms , 4 beds , 3 baths,4.96 ,55 reviews ,$645 CAD per night
146,Entire condo ,KailuaKona,Beautiful Top Floor Oceanfront Condo with AC! #415,4 guests , 2 bedrooms , 3 beds , 2 baths,5.0 ,21 reviews ,$584 CAD per night
147,Entire condo ,Kihei,OCEAN VIEW 2 BR 2 BATH PENTHOUSE KAM 2/3 BEACH,4 guests , 2 bedrooms , 2 beds , 2 baths,4.60 ,5 reviews ,$635 CAD per night
149,Entire home ,KailuaKona,Oceanview Old Hawaiian Ranch House,6 guests , 3 bedrooms , 4 beds , 2.5 baths,5.0 ,37 reviews ,$733 CAD per night
150,Entire condo ,WaikoloaBeachResort,"Lush Tropical Oasis at Waikoloa Shores, Big Island",4 guests , 2 bedrooms , 3 beds , 2 baths,4.94 ,18 reviews ,$456 CAD per night
151,Entire home ,Pāhoa,Kalapana Beach Haven,9 guests , 3 bedrooms , 5 beds , 4 baths,5.0 ,65 reviews ,$962 CAD per night
152,Entire condo ,KailuaKona,Beach Villas (Ocean View) Sleeps 5,5 guests , 2 bedrooms , 4 beds , 2 baths,4.81 ,37 reviews ,$396 CAD per night
153,Entire rental unit ,Pr,Adventures in Paradise!,5 guests , 2 bedrooms , 5 beds , 2 baths,4.80 ,47 reviews ,$442 CAD per night
154,Entire home ,Pāhoa,Hale Melemele,7 guests , 2 bedrooms , 4 beds , 2 baths,4.69 ,183 reviews ,$226 CAD per night
156,Entire condo ,Kihei,Beautifully UPGRADED Ocean View Condo Walk 2 Beach,6 guests , 2 bedrooms , 3 beds , 2 baths,5.0 ,40 reviews ,$592 CAD per night
159,Entire rental unit ,Honolulu,"City lights Waikiki ($7,500 monthly)",6 guests , 2 bedrooms , 4 beds , 2 baths,4.76 ,87 reviews ,$649 CAD per night
161,Entire condo ,KailuaKona,Kona Makai 3-305,6 guests , 2 bedrooms , 4 beds , 1 bath,4.68 ,19 reviews ,$329 CAD per night
162,Entire home ,Waioh,"Dragonfly Lodge, a Tropical Retreat House",7 guests , 4 bedrooms , 6 beds , 3 baths,4.96 ,108 reviews ,$455 CAD per night
165,Entire condo ,Honolulu,=Free Parking!= Renovated 1Bedroom in East Waikiki,5 guests , 1 bedroom , 2 beds , 1 bath,4.70 ,124 reviews ,$353 CAD per night
166,Entire condo ,KailuaKona,Beautiful Top Floor Oceanfront Condo with AC! #421,5 guests , 2 bedrooms , 4 beds , 2 baths,4.95 ,37 reviews ,$624 CAD per night
167,Entire cottage ,KailuaKona,Foster's Ohia Hale,5 guests , 2 bedrooms , 4 beds , 1 bath,4.95 ,97 reviews ,$324 CAD per night
170,Entire condo ,KailuaKona,Stunning Ocean Sunset Views from Private Lanai,4 guests , 1 bedroom , 2 beds , 2 baths,5.0 ,41 reviews ,$369 CAD per night
171,Entire condo ,Kihei,Oceanfront Luxury at a Discount!,6 guests , 2 bedrooms , 4 beds , 2 baths,4.76 ,30 reviews ,$526 CAD per night
172,Entire condo ,WaikoloaVillage,"Gorgeous sunsets, golf course and ocean views",4 guests , 2 bedrooms , 2.5 baths,,empty,,$294 CAD per night
174,Entire condo ,Kihei,Paradise at a reasonable price Unit #101,4 guests , 2 bedrooms , 3 beds , 2 baths,4.72 ,50 reviews ,$285 CAD per night
176,Entire condo ,Wailuku,Spectacular luxury modern oceanfront best condo,4 guests , 2 bedrooms , 2 beds , 2 baths,5.0 ,11 reviews ,$692 CAD per night
177,Entire home ,KailuaKona,Kona Ali'i Village Home,5 guests , 3 bedrooms , 3 beds , 2 baths,4.85 ,27 reviews ,$669 CAD per night
180,Entire condo ,Honolulu,2 Bedroom PentHouse Ocean Views in Waikiki,6 guests , 2 bedrooms , 4 beds , 2 baths,4.45 ,62 reviews ,$595 CAD per night
181,Entire home ,Kamuela,Hale Kohola,6 guests , 3 bedrooms , 4 beds , 1 bath,4.94 ,153 reviews ,$436 CAD per night
183,Entire condo ,Laha,"Great condo, great deals",6 guests , 2 bedrooms , 4 beds , 1 bath,4.20 ,5 reviews ,$557 CAD per night
186,Entire home ,Honolulu,"Beaches, hikes, R&R, and comfort await you.",5 guests , 2 bedrooms , 2 beds , 1 bath,5.0 ,6 reviews ,$592 CAD per night
187,Entire condo ,KailuaKona,"KONA MAKAI OCEANFRONT SNORKEL,TENNIS, GYM, POOL",5 guests , 2 bedrooms , 3 beds , 1 bath,4.50 ,129 reviews ,$368 CAD per night
189,Entire condo ,Hauula,Epic Views! 2 Story Beachfront @ Pat's at Punaluu!,6 guests , 3 bedrooms , 4 beds , 2 baths,4.80 ,49 reviews ,$836 CAD per night
191,Entire home ,Volcano,A/C All Rms/WorkStation&Dishwasher AlohaHaleNohea2,6 guests , 3 bedrooms , 3 beds , 2 baths,4.97 ,172 reviews ,$429 CAD per night
194,Entire condo ,Honolulu,Beautiful & CLEAN>Pool View>Free Parking>WIFI>AC!!,6 guests , 1 bedroom , 3 beds , 1 bath,4.79 ,19 reviews ,$555 CAD per night
196,Entire townhouse ,KailuaKona,Tropical Living in Oceanfront Resort 31,5 guests , 2 bedrooms , 3 beds , 2 baths,4.79 ,101 reviews ,$449 CAD per night
197,Entire home ,Honokaa,Luana Ola Villa Fantastic Ocean View,6 guests , 1 bedroom , 1 bed , 1.5 baths,4.75 ,136 reviews ,$256 CAD per night
198,Entire rental unit ,Honolulu,Waikiki :New decoration2b/1b;at kalakaua  ave,6 guests , 2 bedrooms , 3 beds , 1 bath,4.38 ,32 reviews ,$289 CAD per night
203,Entire condo ,KailuaKona,Beach Villas (Ocean View) Sleeps 5,5 guests , 2 bedrooms , 4 beds , 2 baths,4.81 ,37 reviews ,$396 CAD per night
204,Entire guesthouse ,KailuaKona,New Modern Condo. Large Lanai. Amazing Ocean View!,5 guests , 2 bedrooms , 5 beds , 2 baths,5.0 ,25 reviews ,$539 CAD per night
205,Entire cottage ,Paia,LunaHouse In The Heart of Paia,4 guests , 2 bedrooms , 2 beds , 1 bath,5.0 ,74 reviews ,$466 CAD per night
206,Entire condo ,KailuaKona,"Oceanfront 2 bed, 2 bath, full kitchen  with AC!",4 guests , 2 bedrooms , 2 beds , 2 baths,5.0 ,8 reviews ,$495 CAD per night
210,Entire loft ,Honolulu,Unique opportunity to rent a New York style loft!,6 guests , 2 bedrooms , 2 beds , 1.5 baths,4.72 ,18 reviews ,$834 CAD per night
211,Entire condo ,Honolulu,2Bd/2Ba High Floor Condo with Canal & City View,5 guests , 2 bedrooms , 3 beds , 2 baths,4.78 ,9 reviews ,$397 CAD per night
212,Entire condo ,Honolulu,Remodeled Waikiki 2BR/1BA - central location,6 guests , 2 bedrooms , 2 beds , 1 bath,4.81 ,93 reviews ,$377 CAD per night
214,Entire condo ,Kihei,Luxury 2BR/2BA condo steps from the best beach!,4 guests , 2 bedrooms , 3 beds , 2 baths,4.80 ,66 reviews ,$367 CAD per night
216,Entire home ,Maunaloa,Beach Condo on Molokai,4 guests , 1 bedroom , 2 beds , 1 bath,4.91 ,76 reviews ,$264 CAD per night
218,Entire condo ,KailuaKona,Surf & Racquet 3302 top floor penthouse unit 3bd/2bth. with Central A/C,6 guests , 3 bedrooms , 4 beds , 2 baths,4.17 ,6 reviews ,$542 CAD per night
219,Entire townhouse ,KailuaKona,Tropical Living in Oceanfront Resort 31,5 guests , 2 bedrooms , 3 beds , 2 baths,4.79 ,101 reviews ,$449 CAD per night
220,Entire condo ,Honolulu,Waikiki Banyan Aloha Suite - Ocean View,6 guests , 1 bedroom , 2 beds , 1 bath,4.94 ,31 reviews ,$398 CAD per night
224,Entire condo ,Honolulu,2 Bedroom Condo With Parking,4 guests , 2 bedrooms , 2 beds , 1 bath,4.80 ,202 reviews ,$397 CAD per night
226,Entire condo ,Kihei,Absolutely the Best!! Full AC & Near Pool! PAW 304,6 guests , 2 bedrooms , 4 beds , 2 baths,4.83 ,24 reviews ,$572 CAD per night
228,Entire condo ,KailuaKona,2bd Oceanfront Condo:  Top Floor-A/C-Elevator-Pool,5 guests , 2 bedrooms , 2 beds , 2 baths,4.91 ,23 reviews ,$433 CAD per night
229,Entire condo ,Laha,"NEW! Tasteful Lahaina Condo, Beautiful Resort Pool",6 guests , 2 bedrooms , 3 beds , 2 baths,empty,,$679 CAD per night
230,Entire home ,Paia,"Romantic Maui Beach Home, 3 min walk to Baby Beach",5 guests , 3 bedrooms , 3 beds , 3 baths,4.96 ,46 reviews ,$2
231,Entire rental unit ,Honolulu,2Bedroom Diamond Head Waikiki Lookout-Ocean View🏖,4 guests , 2 bedrooms , 3 beds , 1 bath,empty,,$785 CAD per night
234,Entire home ,Keaau,HOUSE OF DOLPHINS (Hale Hale'ai),5 guests , 2 bedrooms , 2 beds , 2.5 baths,4.74 ,23 reviews ,$836 CAD per night
237,Entire home ,Maunaloa,Beach Condo on Molokai,4 guests , 1 bedroom , 2 beds , 1 bath,4.91 ,76 reviews ,$264 CAD per night
238,Entire home ,Kailua,"Beautiful Kailua Home, Near the Beach",5 guests , 2 bedrooms , 2 beds , 1 bath,4.82 ,67 reviews ,$396 CAD per night
241,Entire vacation home ,Waimea,Mauna Lani Palm Villas D2 Quiet Unit Historic View,6 guests , 3 bedrooms , 4 beds , 2 baths,empty,,$733 CAD per night
243,Entire condo ,WaikoloaVillage,Casa Chilin-Waikoloa Beach Resort @ Fairway Villas,6 guests , 2 bedrooms , 2 beds , 2 baths,4.95 ,64 reviews ,$583 CAD per night
247,Entire condo ,WaikoloaVillage,"Cool and Comfortable, Home away from Home",4 guests , 2 bedrooms , 2 beds , 2 baths,4.92 ,24 reviews ,$275 CAD per night
252,Entire cottage ,Honolulu,Mikaela's Cottage,6 guests , 3 bedrooms , 4 beds , 2 baths,empty,,$743 CAD per night
257,Entire condo ,Honolulu,Ocean View Family Condo for a Getaway,6 guests , 1 bedroom , 3 beds , 1 bath,empty,,$628 CAD per night
258,Entire cottage ,Holualoa,Kona Coffee Cottage in Holualoa,4 guests , 2 bedrooms , 2 beds , 1 bath,5.0 ,10 reviews ,$454 CAD per night
259,Entire home ,OceanView,"Halfway to Kilauea, King suite, Long stays welcome",6 guests , 2 bedrooms , 3 beds , 2 baths,4.94 ,47 reviews ,$338 CAD per night
260,Entire townhouse ,KailuaKona,Tropical Living in Oceanfront Resort 31,5 guests , 2 bedrooms , 3 beds , 2 baths,4.79 ,101 reviews ,$449 CAD per night
261,Entire home ,WaikoloaVillage,OceanView 3Bedroom *A/C*  Waikoloa Village house,6 guests , 3 bedrooms , 5 beds , 2 baths,empty,,$587 CAD per night
262,Entire condo ,WaikoloaVillage,Casa Chilin-Waikoloa Beach Resort @ Fairway Villas,6 guests , 2 bedrooms , 2 beds , 2 baths,4.95 ,64 reviews ,$583 CAD per night
263,Entire villa ,Waimea,Mauna Lani Resort Kulalani 1804 Secluded Villa with Class,4 guests , 2 bedrooms , 2 beds , 3 baths,4.84 ,32 reviews ,$579 CAD per night
264,Entire condo ,WaikoloaVillage,Romantic Beach Getaway F22 Walk to Beach & Golf,6 guests , 2 bedrooms , 4 beds , 2 baths,4.88 ,33 reviews ,$449 CAD per night
267,Entire condo ,Honolulu,Waikiki at its Best - Marine Surf Studio,5 guests , Studio , 2 beds , 1 bath,4.86 ,78 reviews ,$247 CAD per night
269,Entire condo ,KailuaKona,"Oceanfront 2 bed, 2 bath, full kitchen  with AC!",4 guests , 2 bedrooms , 2 beds , 2 baths,5.0 ,8 reviews ,$495 CAD per night
270,Entire condo ,Kihei,Relaxing 2BD with Great Ocean Views 509,4 guests , 2 bedrooms , 3 beds , 2 baths,4.50 ,34 reviews ,$388 CAD per night
271,Entire home ,KailuaKona,Stunning Ocean Front Home,10 guests , 3 bedrooms , 8 beds , 3 baths,4.91 ,34 reviews ,$2
273,Entire condo ,Honolulu,"Waikiki Island Colony 1 Bdrm, 1702",4 guests , 1 bedroom , 3 beds , 1 bath,4.45 ,11 reviews ,$288 CAD per night
275,Entire condo ,Wailuku,Spectacular luxury modern oceanfront best condo,4 guests , 2 bedrooms , 2 beds , 2 baths,5.0 ,11 reviews ,$692 CAD per night
277,Entire condo ,Honolulu,Lovely 2 bedroom condo with awesome view,6 guests , 2 bedrooms , 4 beds , 1 bath,5.0 ,3 reviews ,$355 CAD per night
279,Entire condo ,Honolulu,"Waikiki 2 Bedroom w/ Covered Parking, Family Condo",6 guests , 2 bedrooms , 4 beds , 1 bath,4.74 ,43 reviews ,$566 CAD per night
286,Entire condo ,Honolulu,Remodeled Waikiki 2BR/1BA - central location,6 guests , 2 bedrooms , 2 beds , 1 bath,4.81 ,93 reviews ,$377 CAD per night
287,Entire townhouse ,Kihei,Newly remodeled 2B/2B  at Ma'alaea Surf Resort,4 guests , 2 bedrooms , 2 beds , 2 baths,5.0 ,6 reviews ,$575 CAD per night
289,Entire condo ,Honolulu,Finest Modern Banyan Waikiki Suite FREE Parking,7 guests , 1 bedroom , 2 beds , 1 bath,4.75 ,109 reviews ,$448 CAD per night
290,Entire condo ,Pr,Beautiful spacious ocean and mountain view condo .,4 guests , 2 bedrooms , 1 bed , 2 baths,empty,,$492 CAD per night
291,Entire condo ,Honolulu,Waikiki Banyan Oceanview Modern Relaxation 4 guest,4 guests , 1 bedroom , 2 beds , 1 bath,empty,,$375 CAD per night
292,Entire home ,KailuaKona,Custom ocean view 4/2 cottage in Kailua Kona,5 guests , 4 bedrooms , 4 beds , 2 baths,empty,,$658 CAD per night
293,Entire condo ,Laha,"Great condo, great deals",6 guests , 2 bedrooms , 4 beds , 1 bath,4.20 ,5 reviews ,$557 CAD per night
294,Entire condo ,Kamuela,"Mauna Lani condo with waterfall pool, hot tub & tennis court",6 guests , 2 bedrooms , 3 beds , 2 baths,4.77 ,26 reviews ,$528 CAD per night
295,Entire loft ,Honolulu,Unique opportunity to rent a New York style loft!,6 guests , 2 bedrooms , 2 beds , 1.5 baths,4.72 ,18 reviews ,$834 CAD per night
296,Entire cottage ,Paia,LunaHouse In The Heart of Paia,4 guests , 2 bedrooms , 2 beds , 1 bath,5.0 ,74 reviews ,$466 CAD per night
298,Entire condo ,Kihei,OCEAN VIEW 2 BR 2 BATH PENTHOUSE KAM 2/3 BEACH,4 guests , 2 bedrooms , 2 beds , 2 baths,4.60 ,5 reviews ,$635 CAD per night
299,Entire condo ,Laha,"Temp price drop! 180 deg views, 2b/2ba, on ocean",6 guests , 2 bedrooms , 3 beds , 2 baths,4.88 ,52 reviews ,$788 CAD per night
